127.0.0.1 - - [09/Oct/2025:05:08:46 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:08:46 +0530] "GET /Dynamic-Web-Project/ HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:08:54 +0530] "GET /Dynamic-Web-Project/UserRegistrationView.jsp HTTP/1.1" 200 1734
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:09:32 +0530] "POST /Dynamic-Web-Project/UserRegistrationCtl HTTP/1.1" 200 1790
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:09:49 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:12:42 +0530] "POST /Dynamic-Web-Project/UserRegistrationCtl HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:12:42 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:12:50 +0530] "GET /Dynamic-Web-Project/LoginCtl HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:12:50 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:14:02 +0530] "POST /Dynamic-Web-Project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:14:02 +0530] "GET /Dynamic-Web-Project/WelcomeCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:14:02 +0530] "GET /Dynamic-Web-Project/Welcome.jsp HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:14:02 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:14:08 +0530] "GET /Dynamic-Web-Project/UserListCtl HTTP/1.1" 200 3903
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:14:08 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:15:01 +0530] "GET /Dynamic-Web-Project/UserListCtl HTTP/1.1" 200 3903
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:15:01 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:15:05 +0530] "GET /Dynamic-Web-Project/UserListCtl HTTP/1.1" 200 4574
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:15:06 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:15:27 +0530] "GET /Dynamic-Web-Project/UserListCtl HTTP/1.1" 200 4574
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:15:27 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:15:33 +0530] "GET /Dynamic-Web-Project/UserListCtl HTTP/1.1" 200 4574
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:15:33 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:15:46 +0530] "GET /Dynamic-Web-Project/UserListCtl HTTP/1.1" 200 4574
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:15:46 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:15:50 +0530] "GET /Dynamic-Web-Project/UserListCtl HTTP/1.1" 200 3803
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:15:50 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:16:04 +0530] "POST /Dynamic-Web-Project/UserListCtl HTTP/1.1" 200 3119
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:16:04 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:16:17 +0530] "POST /Dynamic-Web-Project/UserListCtl HTTP/1.1" 200 3119
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:16:17 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:16:19 +0530] "POST /Dynamic-Web-Project/UserListCtl HTTP/1.1" 200 3119
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:16:19 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:16:20 +0530] "POST /Dynamic-Web-Project/UserListCtl HTTP/1.1" 200 3119
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:16:20 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:16:24 +0530] "GET /Dynamic-Web-Project/LoginCtl HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:16:24 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:16:31 +0530] "POST /Dynamic-Web-Project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:16:31 +0530] "GET /Dynamic-Web-Project/WelcomeCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:16:31 +0530] "GET /Dynamic-Web-Project/Welcome.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:16:31 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:16:33 +0530] "GET /Dynamic-Web-Project/UserListCtl HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:16:33 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:17:34 +0530] "GET /Dynamic-Web-Project/ChangePasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:17:37 +0530] "GET /Dynamic-Web-Project/ChangePasswordView.jsp HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [09/Oct/2025:05:17:37 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [09/Oct/2025:19:18:13 +0530] "GET /Dynamic-Web-Project/UserRegistrationView.jsp HTTP/1.1" 200 1734
0:0:0:0:0:0:0:1 - - [09/Oct/2025:19:18:13 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [09/Oct/2025:19:18:17 +0530] "GET /Dynamic-Web-Project/LoginCtl HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [09/Oct/2025:19:18:25 +0530] "POST /Dynamic-Web-Project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:19:18:25 +0530] "GET /Dynamic-Web-Project/WelcomeCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:19:18:25 +0530] "GET /Dynamic-Web-Project/Welcome.jsp HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [09/Oct/2025:19:18:28 +0530] "GET /Dynamic-Web-Project/UserListCtl HTTP/1.1" 200 3152
0:0:0:0:0:0:0:1 - - [09/Oct/2025:19:19:12 +0530] "GET /Dynamic-Web-Project/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:19:19:12 +0530] "GET /Dynamic-Web-Project/UserView.jsp HTTP/1.1" 200 1774
